ID,Name,Price,Price/unit,Price/unit change,Last Price Update,Supplier,Order Code,Brand,Country of Origin,Category,Lead Time,Case,Pack,Unit,Purchase Amount,Converters,Display Name,Usable Percentage,Allergens,Label Certifications,Is Added Sugar,Notes
507023,Mango Puree,114.94,$19.16/Kg,1049.4%,2024-03-27,Chef's Warehouse,4404BO0680,Boiron,"",Food,,6.0,1.0,Kg,6/1Kg,"","",100,"","",true,""
482084,Maple Flavor (GMF),10.0,$10.00/tsp,"","","",,"","",Food,,1.0,1.0,tsp,1/1tsp,"","",100,"","",,""
481939,Maple Syrup,66.41,$16.60/qt,66.03%,2024-03-20,Chef's Warehouse,917168,McClure's,"",Food,,1.0,1.0,gal,1/1gal,11.1 oz = 1 cup,"",100,"","",true,""
507439,Marionberry spread,25.21,$4.58/lb,2421%,2024-03-27,Chef's Warehouse,190174,Provvista,"",Uncategorized,,1.0,5.5,lb,1/5.5lb,"","",100,"","",,""
574615,Marsala wine,1.0,$1.00/floz,"","","",,"","",Food,,1.0,1.0,floz,1/1floz,"","",100,"","",false,""
527486,Marshmallow fluff,76.49,$4.25/lb,-73.44%,2024-10-14,Webstaurant,711885531,Jet-Puffed,"",Uncategorized,,6.0,3.0,lb,6/3lb,"","Jett Puff Creme (Corn syrup, Sugar, Water, dried egg whites, cream of tartar, xanthan gum, artificial and natural flavor)",100,"Eggs, Corn","",true,""
509832,"Marshmallows, Mini",3.19,$0.20/oz,"","",US Foods Chefstore,,Campfire,"",Food,,1.0,16.0,oz,1/16oz,"","",100,Soy,"",true,""
599651,masa harina,1.0,$1.00/g,"","","",,"","",Uncategorized,,1.0,1.0,g,1/1g,"","",100,Corn,"",,""
509833,Mascarpone,28.59,$5.72/lb,"","",US Foods Chefstore,,Bel Gioioso,"",Food,,1.0,5.0,lb,1/5lb,"","",100,Milk,"",,""
482114,Matcha Powder,36.26,$36.26/Kg,-99.64%,2024-03-20,Chef's Warehouse,10797092N,WA Imports,"",Food,,1.0,1.0,Kg,1/1Kg,"","",100,"",Organic,,""
481937,Meadowvale 16% Dairy Ice Cream Base,77.41,$3.87/qt,-1.73%,2025-11-19,Chef's Warehouse,,Meadowvale,"",Food,,2.0,10.0,qt,2/10qt,"","16% Meadowvale Dairy base-(Cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",100,Milk,"",true,""
519087,Meadowvale Coconut base,106.78,$5.34/qt,52.54%,2025-11-19,Chef's Warehouse,,Meadowvale,"",Food,,2.0,10.0,qt,2/10qt,"","Coconut Cream (Coconut Extract, Water), Cane Sugar, Water, Tapioca Syrup Solids, 2% or less of Locust Bean Gum, Sea Salt.
",100,Tree nuts,Vegan,true,Coconut allergen
574598,Meadowvale Peafection,90.7,$4.54/qt,8970%,2025-11-19,Chef's Warehouse,,"","",Food,,2.0,10.0,qt,2/10qt,"","Water, Cane Sugar, Coconut Oil, Tapioca Syrup, Blend (Dextrose, Pea Protein, Locust Bean Gum, Salt, Guar Gum), Natural Vanilla Flavor",100,"Pea protein, Tree nuts",Vegan,true,coconut oil
482229,Mexican Vanilla 2x,318.69,$318.69/gal,-99.16%,2024-03-27,Nielsen Massey,,Nielsen Massey,"",Food,,1.0,1.0,gal,1/1gal,1 tbsp = 13 g,"",100,"","",,""
574606,Mezcal,1.0,$1.00/floz,"","","",,"","",Food,,1.0,1.0,floz,1/1floz,"","",100,"","",true,""
506722,Milk Chocolate Covered Espresso Beans,40.39,$8.08/lb,78.09%,2024-04-04,US Foods Chefstore,,Dilettante,"",Food,,1.0,5.0,lb,1/5lb,"","",100,"Milk, Soy","",,""
507951,"Milk, Whole",3.79,$0.06/oz,"",2024-04-03,US Foods Chefstore,,Darigold,"",Uncategorized,,1.0,64.0,oz,1/64oz,8.55 oz = 1 cup,"",100,Milk,"",,""
574608,Mini Cadbury eggs,1.0,$1.00/g,"","","",,"","",Food,,1.0,1.0,g,1/1g,"","",100,Milk,"",true,""
509385,Mini Chips ahoy,4.29,$0.54/oz,758%,2024-04-03,QFC,,Nabisco,"",Uncategorized,,1.0,8.0,oz,1/8oz,8 oz = 35 each,"",100,"Gluten, Milk, Soy, Wheat","",,""
509124,Mini chocolate chips,142.49,$4.75/lb,374.97%,2024-10-09,Webstaurant,409C6000310,Barry Callebaut,"",Food,,1.0,30.0,lb,1/30lb,"",Mini Chocolate chips (sugar; unsweetened chocolate; cocoa butter; soy lecithin; natural vanilla extract),100,"Milk, Soy","",,""
519838,Mini Marshmallows,1.0,$1.00/oz,"","","",,"","",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",true,""
509386,Mini oreos,4.29,$0.54/oz,758%,2024-04-03,QFC,,Nabisco,"",Uncategorized,,1.0,8.0,oz,1/8oz,8 oz = 72 each,"",100,"Gluten, Soy, Wheat","",,""
510289,"Mint, fresh",1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","",100,"","",,""
482082,Miso,7.85,$7.85/Kg,-97.77%,2024-03-20,Chef's Warehouse,10600173,Namikura,"",Food,,1.0,1.0,Kg,1/1Kg,"","",100,Soy,Gluten-Free,,Gluten Free White Kyoto Shiro
528767,Mixed Nuts,1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,3.2 cup = 1 lb,"",100,"Peanuts, Tree nuts","",,""
506720,Molasses,22.55,$22.55/gal,-94.04%,2024-04-04,Chef's Warehouse,GS521,Grandma's,"",Food,,1.0,1.0,gal,1/1gal,11.6 oz = 1 cup,"",100,"","",true,""
587224,Mounds Bars,1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","Corn Syrup
Coconut
Sugar
Chocolate
Cocoa
Peppermint Oil* (ARTIFICIAL FLAVOR) (Organic Cocoa**, Palm Kernel Oil, Coconut Oil, Palm Oil, Cinnamon*, Annatto Extract)
Contains 2% or Less of:
Salt
Soy Lecithin
PGPR
Hydrolyzed Milk Protein
Sodium Metabisulfite (TO MAINTAIN FRESHNESS)
Vanillin (ARTIFICIAL FLAVOR)",100,"Artificial dye, Milk, Soy, Tree nuts","",true,"Corn, Coconut, "
482242,Nectarine Puree,10.0,$10.00/Kg,"","","",,"","",Food,,1.0,1.0,Kg,1/1Kg,"","",100,"","",,""
587230,Nestle Crunch Bars,1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","Sugar, Chocolate, Cocoa Butter, Nonfat Milk, Milkfat, Lactose, Soy Lecithin, Natural Flavor, Rice Flour, Sugar, Barley Malt, Salt. 
",100,"Milk, Soy","",true,""
509696,Non-Dairy Whip Topping,5.79,$2.90/lb,"","",US Foods Chefstore,,Rich's,"",Food,,1.0,2.0,lb,1/2lb,"","",100,Soy,"",,""
509410,Nutmeg,1.0,$1.00/cup,"","","",,"","",Uncategorized,,1.0,1.0,cup,1/1cup,3.76 oz = 1 cup,"",100,"","",,""
